Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;;Database Units%;Database;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;LTR Backup Storage;Data Stored;;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Managed Instance%;;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Single/Elastic Pool%;vCore;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Elastic Pool%;eDTUs;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;SingleDB Hyperscale%;vCore;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Single%;%DTUs;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIBC%G5%;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIGP%G5%;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;Storage;;;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Data Warehouse;Consumption-based;SQL Data Warehouse;%Storage;;Microsoft.Sql;;
Data & Analytics;Relational Databases;Managed Database;SQL Database;Consumption-based;Storage;;;Microsoft.Sql;;
Management & Governance;Backup & Recovery;Backup Service;Backup Storage;Capacity-based;Storage;;;microsoft._ackup;;
Management & Governance;Backup & Recovery;Backup Service;Backup Storage;Capacity-based;Storage;;;Microsoft.RecoveryServices;;
Compute;Compute Services;Compute Service;Auxiliary Compute;Consumption-based;Storage;;;%_torage%;;
Compute;Compute Services;Compute Service;Auxiliary Compute;Consumption-based;Storage;;;Microsoft.Compute;;
Compute;Compute Services;Compute Service;Auxiliary Compute;Consumption-based;Storage;;;Microsoft.MachineLearningServices;;
Compute;Compute Services;Compute Service;Auxiliary Compute;Consumption-based;Storage;;;Microsoft.Batch;;
Compute;Virtual Machines;Virtual Machine;VM Licenses;Subscription-based;Virtual Machines Licenses;;;;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;SQL Server%;Compute Hours;;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;BizTalk Server;Compute Hours;%Compute;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned;;
Compute;Virtual Machines;Virtual Machine;VM Compute;Consumption-based;Virtual Machines;Reservation%;Compute Hours;%Compute;;
DevOps;CI/CD;DevOps Tooling;Development Tools;Subscription-based;Visual Studio;Team Services;Users;;;
DevOps;CI/CD;DevOps Tooling;Development Tools;Subscription-based;Visual Studio;Build and Deployment;Private Agents;;;
DevOps;CI/CD;DevOps Tooling;Development Tools;Subscription-based;Visual Studio;Build and Deployment;Hosted Agents;;;
Management & Governance;Monitoring;Monitoring Service;Application Insights;Consumption-based;Visual Studio;Application Insights;;microsoft.insights;;
Application Platform;Web & App Hosting;App Hosting Service;Web Apps;Consumption-based;Websites;Web Sites;Free Web Sites;Microsoft.Web;;
Application Platform;Web & App Hosting;App Hosting Service;Web Apps;Consumption-based;Websites;;%Hours;Microsoft.Web;;
Application Platform;Web & App Hosting;App Hosting Service;Web Apps;Consumption-based;Websites;Web Sites;IP SSL;Microsoft.Web;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Cloud Data Movement;Microsoft.DataFactory;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Cloud Orchestration Activity Run;Microsoft.DataFactory;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Cloud Pipeline Activity External IR;Microsoft.DataFactory;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Cloud Pipeline Activity IR;Microsoft.DataFactory;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Monitoring Operations;Microsoft.DataFactory;;
Data & Analytics;Data Integration;Data Integration Service;Data Factory;Consumption-based;Azure Data Factory v2;;Read Write Operations;Microsoft.DataFactory;;
